Drop Off Location,Stake,Route Number/Name,Donation Bags Collected,Completed More Than One Route,Ward_x,Neighbourhood,Latitude,Longitude,Point Location
Bearspaw Chapel,Gateway Stake,11,16,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,41,24,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,66,200,Yes,Crawford Plains Ward,CRAWFORD PLAINS,53.44341912,-113.4026104,POINT (-113.40261040440224 53.44341912235957)
Bearspaw Chapel,Gateway Stake,28 Lee ridge,29,No,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,12,25,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Gateway Stake Centre,Gateway Stake,57,20,Yes,Rio Vista Ward,RIO VISTA,53.48446,-113.492,
Gateway Stake Centre,Gateway Stake,14,32,Yes,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Gateway Stake Centre,Gateway Stake,15,27,Yes,Silver Berry Ward,SILVER BERRY,53.45921603,-113.3818037,POINT (-113.38180371531453 53.459216031297494)
Edmonton North Stake Centre,Edmonton North Stake,Sherbrooke D,45,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Edmonton North Stake Centre,Edmonton North Stake,Sherbrooke B,18,No,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Edmonton North Stake Centre,Edmonton North Stake,Caernarvon E,47,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Edmonton North Stake Centre,Edmonton North Stake,Wellington EF,40,Yes,Griesbach Ward,GRIESBACH,53.6134682,-113.5157507,POINT (-113.51575070317364 53.61346820073056)
Edmonton North Stake Centre,Edmonton North Stake,2-2.4,16,No,Namao Ward,NAMAO,53.54445,-113.49091,
Bearspaw Chapel,Gateway Stake,38,18,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
